"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",5,1840,900.7,9200,4503.5,-4696.5,-51.05,0,""
"HDFCBANK",3,1433.7,1925,4301.1,5775,1473.9,34.27,0,""
"IRFC",27,146.85,124.47,3964.95,3360.69,-604.26,-15.24,0,""
"JSWENERGY",1,728.7,479.2,728.7,479.2,-249.5,-34.24,0,""
"NHPC",13,89.95,85.79,1169.35,1115.27,-54.08,-4.62,0,""
"RHFL",75,2.65,3.29,199.11,246.75,47.64,23.93,0,""
"RPOWER",55,17.09,39.99,939.95,2199.45,1259.5,134,0,""
"SUZLON",131,47.41,56.4,6210.59,7388.4,1177.81,18.96,0,""
"TATAMOTORS",10,769,644.25,7690,6442.5,-1247.5,-16.22,0,""
"TATASTEEL",30,164.85,140.08,4945.5,4202.4,-743.1,-15.03,0,""
"UJJIVANSFB",6,44.82,42.63,268.92,255.78,-13.14,-4.89,0,""
"VIKASLIFE",154,5.03,2.55,773.96,392.7,-381.26,-49.26,0,""
